Distrito,Concelho,CodDistritoConcelho,P_IP_TOTAL,P_IP_Inef,Rate_Ineficiencia,Cap_PTD,Util_Media,N_PTDs,Ganho_LED,PFolga,PVE,D
Bragança,Carrazeda de Ansiães,403,193.69840003967283,0.07,0.0003613865679100229,11945,0.5643373493975904,99,0.045500000000000006,4787.67113253012,1306.8,3480.9166325301203
Bragança,Freixo de Espada À Cinta,404,118.18259999847412,0.8700000000000001,0.007361489762547388,12060,0.4267605633802817,83,0.5655000000000001,6360.206197183099,1095.6,5265.171697183099
Bragança,Macedo de Cavaleiros,405,516.8325000686646,32.370000000000005,0.06263151020049908,31848,0.5783464566929134,185,21.040500000000005,12354.516283464567,2442.0,9933.556783464566
Bragança,Miranda do douro,406,322.8241997261047,50.34,0.15593626513350056,17036,0.5507692307692308,102,32.721000000000004,7040.847753846154,1346.3999999999999,5727.168753846154
Bragança,Mirandela,407,563.0265000762939,62.811,0.11155958021778492,50165,0.5399555555555555,247,40.82715,21231.879191111115,3260.4,18012.306341111114
Bragança,Mogadouro,408,393.1024999198914,46.220000000000006,0.11757747663629455,24523,0.443,155,30.043000000000006,12566.566119999998,2046.0,10550.609119999997
Bragança,Torre de Moncorvo,409,213.077100151062,13.350000000000001,0.0626533775358096,17436,0.5087179487179487,131,8.677500000000002,7880.714338461538,1729.2,6160.191838461538
Bragança,Vila Flor,410,218.9537000770569,36.660000000000004,0.167432658078389,14261,0.5147126436781609,102,23.829000000000004,6367.028349425287,1346.3999999999999,5044.457349425287
Bragança,Vimioso,411,186.5637000198364,0.0,0.0,10535,0.5533962264150943,65,0.0,4328.573094339623,858.0,3470.573094339623
Bragança,Vinhais,412,359.5147002105713,1.85,0.005145825744862274,15953,0.48675,156,1.2025000000000001,7532.84707,2059.2,5474.84957
Castelo Branco,Belmonte,501,211.175,9.91,0.04692790339765597,17500,0.45613207547169815,108,6.4415000000000004,8756.273584905659,1425.6,7337.115084905659
Castelo Branco,Castelo Branco,502,1688.9166025314332,890.6450000000002,0.5273469386617768,143740,0.45249557522123895,580,578.9192500000001,72402.42313628319,7656.0,65325.3423862832
Castelo Branco,Covilhã,503,2077.0013000335694,1807.9,0.870437587097697,120110,0.47997752808988764,455,1175.135,57463.107173033706,6006.0,52632.24217303371
Castelo Branco,Fundão,504,567.6056001243592,0.0,0.0,66445,0.5238181818181817,395,0.0,29108.708836363643,5214.0,23894.708836363643
Castelo Branco,Idanha-a-Nova,505,487.2362000350952,204.94,0.4206173514719111,33261,0.36501845018450185,285,133.211,19430.511622140224,3762.0,15801.722622140223
Castelo Branco,Oleiros,506,333.1875,0.0,0.0,14170,0.39509202453987735,167,0.0,7885.822331288344,2204.4,5681.422331288344
Castelo Branco,Penamacor,507,245.16300048828126,35.46,0.1446384647331602,14016,0.44295999999999996,127,23.049000000000003,7182.874828800001,1676.3999999999999,5529.523828800001
Castelo Branco,Proença-a-Nova,508,441.2956001434326,183.44499999999996,0.41569641741357843,22550,0.45723684210526316,154,119.23924999999998,11260.16447368421,2032.8,9346.603723684211
Castelo Branco,Sertã,509,610.5226032257079,133.31,0.21835391400032372,31033,0.5189705882352941,277,86.6515,13733.56287647059,3656.4,10163.814376470591
Castelo Branco,Vila de Rei,510,172.60550053405763,9.68,0.05608164264782507,12935,0.40406976744186046,88,6.292,7091.688953488372,1161.6,5936.380953488373
Castelo Branco,Vila Velha de Ródão,511,153.063100025177,33.01,0.21566269071102218,10415,0.44378048780487805,84,21.4565,5329.5841219512195,1108.8,4242.2406219512195
Coimbra,Arganil,601,367.05750001525877,146.29999999999998,0.3985751551021794,23948,0.5411764705882353,178,95.095,10108.873411764707,2349.6,7854.368411764706
Coimbra,Cantanhede,602,842.1797005500794,234.33999999999997,0.2782541538901236,58118,0.5882374100719424,281,152.321,22016.352745323744,3709.2,18459.473745323743
Coimbra,Coimbra,603,2777.5304000415804,1714.755,0.6173667802067369,305779,0.5405718270571827,734,1114.59075,129244.8083107392,9688.8,120670.5990607392
Coimbra,Condeixa-a-Nova,604,311.638,0.0,0.0,25080,0.5924271844660195,104,0.0,9404.172116504853,1372.8,8031.372116504853
Coimbra,Figueira da Foz,605,751.8219999084473,0.38,0.0005054387874340925,112448,0.5688010204081633,401,0.24700000000000003,44608.46582857143,5293.2,39315.51282857144
Coimbra,Góis,606,219.75400000572205,78.11,0.3554429043292324,9931,0.47242105263157896,100,50.7715,4820.235604210527,1320.0,3551.0071042105264
Coimbra,Lousã,607,283.9684000854492,55.239999999999995,0.19452868693621428,27496,0.588962962962963,138,35.906,10397.724420740738,1821.6,8612.030420740739
Coimbra,Mira,608,276.6750002708435,15.834999999999999,0.05723321581096505,21780,0.6373333333333333,95,10.29275,7266.969600000001,1254.0,6023.262350000001
Coimbra,Miranda do Corvo,609,234.6795000038147,30.21,0.12872875559863106,19350,0.5621,104,19.6365,7795.495799999999,1372.8,6442.332299999998
Coimbra,Montemor-o-Velho,610,540.1645001907349,160.78,0.29765006760575297,38270,0.5795161290322581,186,104.507,14804.564322580643,2455.2,12453.871322580642
Coimbra,Oliveira do Hospital,611,543.2440000190735,232.22,0.4274690562470026,33771,0.5710824742268041,198,150.943,13326.175861855669,2613.6,10863.518861855668
Coimbra,Pampilhosa da Serra,612,222.9445001411438,16.39,0.07351605439750102,11101,0.49210526315789477,115,10.653500000000001,5187.088315789473,1518.0,3679.7418157894735
